Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,Source
1379-05-27,MKE Ankaragucu,Galatasaray,0,1,A,Turkish_League_Hijri
1379-05-27,Besiktas,Izmirspor,1,0,H,Turkish_League_Hijri
1379-05-27,Turanspor,Fatih Karagumruk,3,1,H,Turkish_League_Hijri
1379-05-27,Kasimpasa,Karsiyaka,0,0,D,Turkish_League_Hijri
1379-05-27,Goztepe,Ankara Demirspor,2,2,D,Turkish_League_Hijri
1379-05-27,Altinordu,Altay,4,1,H,Turkish_League_Hijri
1379-05-28,Altinordu,Ankara Demirspor,1,2,A,Turkish_League_Hijri
1379-05-28,Turanspor,Galatasaray,1,1,D,Turkish_League_Hijri
1379-05-28,Besiktas,Karsiyaka,6,0,H,Turkish_League_Hijri
1379-05-28,Goztepe,Altay,3,1,H,Turkish_League_Hijri
1379-05-28,MKE Ankaragucu,Fatih Karagumruk,0,0,D,Turkish_League_Hijri
1379-05-28,Kasimpasa,Izmirspor,1,3,A,Turkish_League_Hijri
1379-06-01,Besiktas,Galatasaray,1,0,H,Turkish_League_Hijri
1379-06-04,Istanbulspor,Altay,3,2,H,Turkish_League_Hijri
1379-06-04,Karsiyaka,Genclerbirligi,0,1,A,Turkish_League_Hijri
1379-06-04,Ferikoy,Ankara Demirspor,2,1,H,Turkish_League_Hijri
1379-06-04,Izmirspor,Ankara Keciorengucu,5,3,H,Turkish_League_Hijri
1379-06-05,Karsiyaka,Ankara Keciorengucu,2,1,H,Turkish_League_Hijri
1379-06-05,Istanbulspor,Ankara Demirspor,1,3,A,Turkish_League_Hijri
1379-06-05,Izmirspor,Genclerbirligi,4,1,H,Turkish_League_Hijri
1379-06-05,Ferikoy,Altay,2,0,H,Turkish_League_Hijri
1379-06-08,Istanbulspor,Beykoz 1908,1,0,H,Turkish_League_Hijri
1379-06-08,Ferikoy,Vefa,1,0,H,Turkish_League_Hijri
1379-06-11,Ankara Demirspor,Ankara Keciorengucu,1,0,H,Turkish_League_Hijri
1379-06-11,Kasimpasa,MKE Ankaragucu,0,0,D,Turkish_League_Hijri
1379-06-11,Karsiyaka,Fatih Karagumruk,3,1,H,Turkish_League_Hijri
1379-06-11,Besiktas,Turanspor,1,0,H,Turkish_League_Hijri
1379-06-11,Genclerbirligi,Altay,5,0,H,Turkish_League_Hijri
1379-06-11,Izmirspor,Galatasaray,3,3,D,Turkish_League_Hijri
1379-06-12,Ankara Keciorengucu,Altay,1,1,D,Turkish_League_Hijri
1379-06-12,Izmirspor,Fatih Karagumruk,1,1,D,Turkish_League_Hijri
1379-06-12,Kasimpasa,Turanspor,3,2,H,Turkish_League_Hijri
1379-06-12,Karsiyaka,Galatasaray,0,0,D,Turkish_League_Hijri
1379-06-12,Ankara Demirspor,Genclerbirligi,1,1,D,Turkish_League_Hijri
1379-06-12,Besiktas,MKE Ankaragucu,2,0,H,Turkish_League_Hijri
1379-06-16,Fenerbahce,Galatasaray,1,0,H,Turkish_League_Hijri
1379-06-18,Istanbulspor,Altinordu,2,1,H,Turkish_League_Hijri
1379-06-18,MKE Ankaragucu,Beykoz 1908,1,1,D,Turkish_League_Hijri
1379-06-18,Ferikoy,Goztepe,1,0,H,Turkish_League_Hijri
1379-06-18,Turanspor,Adalet,0,2,A,Turkish_League_Hijri
1379-06-19,Ferikoy,Altinordu,1,0,H,Turkish_League_Hijri
1379-06-19,Istanbulspor,Goztepe,0,0,D,Turkish_League_Hijri
1379-06-19,MKE Ankaragucu,Adalet,1,0,H,Turkish_League_Hijri
1379-06-19,Turanspor,Beykoz 1908,2,3,A,Turkish_League_Hijri
1379-06-25,Ankara Keciorengucu,Kasimpasa,4,0,H,Turkish_League_Hijri
1379-06-25,Fatih Karagumruk,Ferikoy,2,1,H,Turkish_League_Hijri
1379-06-25,Genclerbirligi,Besiktas,0,1,A,Turkish_League_Hijri
1379-06-26,Genclerbirligi,Kasimpasa,2,1,H,Turkish_League_Hijri
1379-06-26,Ankara Keciorengucu,Besiktas,1,2,A,Turkish_League_Hijri
1379-06-26,Galatasaray,Istanbulspor,1,0,H,Turkish_League_Hijri
1379-06-29,Fatih Karagumruk,Beykoz 1908,0,0,D,Turkish_League_Hijri
1379-06-29,Kasimpasa,Adalet,3,0,H,Turkish_League_Hijri
1379-07-03,Altinordu,MKE Ankaragucu,2,0,H,Turkish_League_Hijri
1379-07-03,Beykoz 1908,Kasimpasa,1,0,H,Turkish_League_Hijri
1379-07-03,Galatasaray,Vefa,0,0,D,Turkish_League_Hijri
1379-07-03,Goztepe,Turanspor,0,0,D,Turkish_League_Hijri
1379-07-04,Altinordu,Turanspor,1,3,A,Turkish_League_Hijri
1379-07-04,Besiktas,Fenerbahce,1,0,H,Turkish_League_Hijri
1379-07-04,Goztepe,MKE Ankaragucu,3,2,H,Turkish_League_Hijri
1379-07-10,Goztepe,Vefa,3,1,H,Turkish_League_Hijri
1379-07-10,Altinordu,Fenerbahce,0,1,A,Turkish_League_Hijri
1379-07-11,Altinordu,Vefa,2,2,D,Turkish_League_Hijri
1379-07-11,Goztepe,Fenerbahce,0,0,D,Turkish_League_Hijri
1379-07-28,Adalet,Vefa,2,0,H,Turkish_League_Hijri
1379-07-28,Altay,Turanspor,2,0,H,Turkish_League_Hijri
1379-07-28,Beykoz 1908,Galatasaray,2,3,A,Turkish_League_Hijri
1379-08-01,Adalet,Fatih Karagumruk,0,0,D,Turkish_League_Hijri
1379-08-01,Izmirspor,Turanspor,0,1,A,Turkish_League_Hijri
1379-08-01,Besiktas,Vefa,2,1,H,Turkish_League_Hijri
1379-08-01,Karsiyaka,MKE Ankaragucu,1,1,D,Turkish_League_Hijri
1379-08-01,Genclerbirligi,Ankara Demirspor,3,0,H,Turkish_League_Hijri
1379-08-02,Ankara Keciorengucu,Ankara Demirspor,1,5,A,Turkish_League_Hijri
1379-08-02,Kasimpasa,Istanbulspor,0,3,A,Turkish_League_Hijri
