düzeltilmiş_hijri
tsl_dataset;;;;;;
Date;home;visitor;FT;hgoal;vgoal;result
1395-10-27;Giresunspor;Balikesirspor;2-0;2;0;H
1395-11-04;Fenerbahce;Trabzonspor;0-0;0;0;D
1395-11-05;Galatasaray;Besiktas;1-0;1;0;H
1395-11-05;Eskisehirspor;Giresunspor;1-1;1;1;D
1395-11-05;Altay;Zonguldakspor;1-1;1;1;D
1395-11-05;MKE Ankaragucu;Adanaspor;2-0;2;0;H
1395-11-05;Adana Demirspor;Bursaspor;2-1;2;1;H
1395-11-05;Orduspor;Boluspor;0-0;0;0;D
1395-11-05;Balikesirspor;Goztepe;1-0;1;0;H
1395-11-12;Goztepe;Eskisehirspor;3-0;3;0;H
1395-11-12;Giresunspor;Adana Demirspor;1-0;1;0;H
1395-11-12;Adanaspor;Orduspor;1-0;1;0;H
1395-11-12;Zonguldakspor;Trabzonspor;1-0;1;0;H
1395-11-12;Balikesirspor;Galatasaray;1-0;1;0;H
1395-11-12;Besiktas;MKE Ankaragucu;2-0;2;0;H
1395-11-12;Bursaspor;Fenerbahce;0-0;0;0;D
1395-11-12;Boluspor;Altay;3-2;3;2;H
1395-11-26;Orduspor;Besiktas;2-1;2;1;H
1395-11-26;Adana Demirspor;Goztepe;2-0;2;0;H
1395-11-26;Eskisehirspor;Galatasaray;1-1;1;1;D
1395-11-26;Zonguldakspor;Boluspor;1-0;1;0;H
1395-11-26;Altay;Adanaspor;3-2;3;2;H
1395-11-26;Fenerbahce;Giresunspor;1-1;1;1;D
1395-11-26;MKE Ankaragucu;Balikesirspor;2-0;2;0;H
1395-11-26;Trabzonspor;Bursaspor;1-1;1;1;D
1395-12-02;Besiktas;Altay;1-0;1;0;H
1395-12-03;Adanaspor;Zonguldakspor;1-0;1;0;H
1395-12-03;Boluspor;Trabzonspor;0-0;0;0;D
1395-12-03;Goztepe;Fenerbahce;0-2;0;2;A
1395-12-03;Galatasaray;Adana Demirspor;3-0;3;0;H
1395-12-03;Balikesirspor;Orduspor;1-0;1;0;H
1395-12-03;Eskisehirspor;MKE Ankaragucu;5-1;5;1;H
1395-12-03;Giresunspor;Bursaspor;3-1;3;1;H
1395-12-10;Fenerbahce;Galatasaray;1-3;1;3;A
1395-12-10;Zonguldakspor;Besiktas;0-0;0;0;D
1395-12-10;Adana Demirspor;MKE Ankaragucu;0-0;0;0;D
1395-12-10;Trabzonspor;Giresunspor;2-0;2;0;H
1395-12-10;Orduspor;Eskisehirspor;1-1;1;1;D
1395-12-10;Bursaspor;Goztepe;2-1;2;1;H
1395-12-10;Boluspor;Adanaspor;5-1;5;1;H
1395-12-11;Altay;Balikesirspor;1-0;1;0;H
1395-12-23;Besiktas;Boluspor;3-3;3;3;D
1395-12-24;Orduspor;Adana Demirspor;1-0;1;0;H
1395-12-24;Galatasaray;Bursaspor;1-1;1;1;D
1395-12-24;Eskisehirspor;Altay;0-0;0;0;D
1395-12-24;MKE Ankaragucu;Fenerbahce;1-1;1;1;D
1395-12-24;Goztepe;Giresunspor;0-0;0;0;D
1395-12-24;Adanaspor;Trabzonspor;2-1;2;1;H
1395-12-24;Balikesirspor;Zonguldakspor;1-1;1;1;D
1396-01-02;Giresunspor;Galatasaray;1-1;1;1;D
1396-01-02;Trabzonspor;Goztepe;4-2;4;2;H
1396-01-02;Adanaspor;Besiktas;4-2;4;2;H
1396-01-02;Boluspor;Balikesirspor;1-0;1;0;H
1396-01-02;Zonguldakspor;Eskisehirspor;0-1;0;1;A
1396-01-02;Altay;Adana Demirspor;1-0;1;0;H
1396-01-02;Bursaspor;MKE Ankaragucu;2-0;2;0;H
1396-01-02;Fenerbahce;Orduspor;3-0;3;0;H
1396-01-08;Galatasaray;Goztepe;1-0;1;0;H
1396-01-09;Adana Demirspor;Zonguldakspor;0-0;0;0;D
1396-01-09;Eskisehirspor;Boluspor;1-1;1;1;D
1396-01-09;MKE Ankaragucu;Giresunspor;3-4;3;4;A
1396-01-09;Altay;Fenerbahce;1-1;1;1;D
1396-01-09;Balikesirspor;Adanaspor;0-3;0;3;A
1396-01-09;Besiktas;Trabzonspor;0-1;0;1;A
1396-01-09;Orduspor;Bursaspor;0-0;0;0;D
1396-02-14;Giresunspor;Orduspor;0-0;0;0;D
1396-02-14;Trabzonspor;Galatasaray;1-0;1;0;H
1396-02-14;Adanaspor;Eskisehirspor;1-0;1;0;H
1396-02-14;Zonguldakspor;Fenerbahce;0-1;0;1;A
1396-02-14;Besiktas;Balikesirspor;1-0;1;0;H
1396-02-14;Bursaspor;Altay;2-0;2;0;H
1396-02-14;Goztepe;MKE Ankaragucu;1-0;1;0;H
1396-02-14;Boluspor;Adana Demirspor;1-1;1;1;D
1396-02-21;Fenerbahce;Boluspor;2-0;2;0;H
1396-02-21;Altay;Giresunspor;2-0;2;0;H
1396-02-21;MKE Ankaragucu;Galatasaray;2-4;2;4;A
1396-02-21;Eskisehirspor;Besiktas;0-0;0;0;D
1396-02-21;Adana Demirspor;Adanaspor;0-2;0;2;A
1396-02-21;Trabzonspor;Balikesirspor;3-0;3;0;H
1396-02-21;Zonguldakspor;Bursaspor;1-2;1;2;A
1396-02-21;Orduspor;Goztepe;1-1;1;1;D
1396-02-27;Galatasaray;Orduspor;0-0;0;0;D
1396-02-28;Besiktas;Adana Demirspor;1-1;1;1;D
1396-02-28;Goztepe;Altay;0-0;0;0;D
1396-02-28;Adanaspor;Fenerbahce;1-1;1;1;D
1396-02-28;Trabzonspor;MKE Ankaragucu;0-0;0;0;D
1396-02-28;Balikesirspor;Eskisehirspor;1-0;1;0;H
1396-02-29;Boluspor;Bursaspor;1-0;1;0;H
1396-03-06;Orduspor;MKE Ankaragucu;2-0;2;0;H
1396-03-06;Adana Demirspor;Balikesirspor;2-0;2;0;H
1396-03-06;Zonguldakspor;Goztepe;2-0;2;0;H
1396-03-06;Eskisehirspor;Trabzonspor;1-0;1;0;H
1396-03-06;Altay;Galatasaray;1-3;1;3;A
1396-03-06;Bursaspor;Adanaspor;0-1;0;1;A
1396-03-06;Fenerbahce;Besiktas;3-0;3;0;H
1396-03-06;Boluspor;Giresunspor;2-1;2;1;H
1396-03-12;Besiktas;Bursaspor;1-1;1;1;D
1396-03-13;Galatasaray;Zonguldakspor;2-0;2;0;H
1396-03-13;Goztepe;Boluspor;5-1;5;1;H
1396-03-13;Balikesirspor;Fenerbahce;0-0;0;0;D
1396-03-13;Eskisehirspor;Adana Demirspor;1-1;1;1;D
1396-03-13;MKE Ankaragucu;Altay;2-2;2;2;D
1396-03-13;Adanaspor;Giresunspor;1-0;1;0;H
1396-03-13;Orduspor;Trabzonspor;1-1;1;1;D
1396-03-20;Trabzonspor;Adana Demirspor;1-0;1;0;H
1396-03-20;Giresunspor;Besiktas;1-1;1;1;D
1396-03-20;Boluspor;Galatasaray;0-1;0;1;A
1396-03-20;Altay;Orduspor;1-0;1;0;H
1396-03-20;Bursaspor;Balikesirspor;1-0;1;0;H
1396-03-20;Fenerbahce;Eskisehirspor;2-1;2;1;H
1396-03-20;Adanaspor;Goztepe;1-0;1;0;H
1396-03-20;Zonguldakspor;MKE Ankaragucu;1-0;1;0;H
1396-03-23;Giresunspor;Zonguldakspor;1-1;1;1;D
1396-03-26;Galatasaray;Adanaspor;2-1;2;1;H
1396-03-27;Besiktas;Goztepe;1-1;1;1;D
1396-03-27;Orduspor;Zonguldakspor;0-0;0;0;D
1396-03-27;MKE Ankaragucu;Boluspor;3-2;3;2;H
1396-03-27;Eskisehirspor;Bursaspor;2-1;2;1;H
1396-03-27;Altay;Trabzonspor;0-2;0;2;A
1396-03-27;Adana Demirspor;Fenerbahce;3-2;3;2;H
1396-03-27;Balikesirspor;Giresunspor;1-0;1;0;H
1396-04-04;Zonguldakspor;Altay;0-0;0;0;D
1396-04-04;Goztepe;Balikesirspor;1-1;1;1;D
1396-04-04;Trabzonspor;Fenerbahce;1-0;1;0;H
1396-04-04;Boluspor;Orduspor;2-1;2;1;H
1396-04-04;Besiktas;Galatasaray;1-1;1;1;D
1396-04-04;Adanaspor;MKE Ankaragucu;0-0;0;0;D
1396-04-04;Giresunspor;Eskisehirspor;1-0;1;0;H
1396-04-04;Bursaspor;Adana Demirspor;0-0;0;0;D
1396-04-10;Fenerbahce;Bursaspor;3-1;3;1;H
1396-04-11;Adana Demirspor;Giresunspor;1-0;1;0;H
1396-04-11;Altay;Boluspor;1-1;1;1;D
1396-04-11;Eskisehirspor;Goztepe;3-0;3;0;H
1396-04-11;Galatasaray;Balikesirspor;2-0;2;0;H
1396-04-11;Orduspor;Adanaspor;1-0;1;0;H
1396-04-11;Trabzonspor;Zonguldakspor;1-0;1;0;H
1396-04-11;MKE Ankaragucu;Besiktas;1-1;1;1;D
1396-04-17;Galatasaray;Eskisehirspor;1-1;1;1;D
1396-04-18;Giresunspor;Fenerbahce;0-1;0;1;A
1396-04-18;Bursaspor;Trabzonspor;0-1;0;1;A
1396-04-18;Goztepe;Adana Demirspor;2-0;2;0;H
1396-04-18;Besiktas;Orduspor;1-0;1;0;H
1396-04-18;Balikesirspor;MKE Ankaragucu;1-1;1;1;D
1396-04-18;Boluspor;Zonguldakspor;1-3;1;3;A
1396-04-18;Adanaspor;Altay;2-1;2;1;H
1396-04-25;Trabzonspor;Boluspor;3-0;3;0;H
1396-04-25;Orduspor;Balikesirspor;3-0;3;0;H
1396-04-25;Zonguldakspor;Adanaspor;1-1;1;1;D
1396-04-25;Bursaspor;Giresunspor;1-2;1;2;A
1396-04-25;Altay;Besiktas;0-0;0;0;D
1396-04-25;Adana Demirspor;Galatasaray;0-0;0;0;D
1396-04-25;Fenerbahce;Goztepe;0-0;0;0;D
1396-04-25;MKE Ankaragucu;Eskisehirspor;1-0;1;0;H
1396-05-03;Adanaspor;Boluspor;1-1;1;1;D
1396-05-09;Besiktas;Zonguldakspor;1-1;1;1;D
1396-05-10;Balikesirspor;Altay;4-2;4;2;H
1396-05-10;Galatasaray;Fenerbahce;1-0;1;0;H
1396-05-10;Giresunspor;Trabzonspor;0-0;0;0;D
1396-05-10;Goztepe;Bursaspor;2-2;2;2;D
1396-05-10;MKE Ankaragucu;Adana Demirspor;4-2;4;2;H
1396-05-10;Eskisehirspor;Orduspor;3-0;3;0;H
1396-05-17;Boluspor;Besiktas;0-0;0;0;D
1396-05-17;Zonguldakspor;Balikesirspor;2-0;2;0;H
1396-05-17;Trabzonspor;Adanaspor;2-0;2;0;H
1396-05-17;Giresunspor;Goztepe;2-0;2;0;H
1396-05-17;Fenerbahce;MKE Ankaragucu;1-1;1;1;D
1396-05-17;Bursaspor;Galatasaray;1-1;1;1;D
1396-05-17;Altay;Eskisehirspor;1-0;1;0;H
1396-05-17;Adana Demirspor;Orduspor;3-1;3;1;H
1396-05-23;Besiktas;Adanaspor;0-0;0;0;D
1396-05-24;Orduspor;Fenerbahce;0-0;0;0;D
1396-05-24;MKE Ankaragucu;Bursaspor;1-0;1;0;H
1396-05-24;Goztepe;Trabzonspor;0-0;0;0;D
1396-05-24;Galatasaray;Giresunspor;1-3;1;3;A
1396-05-24;Eskisehirspor;Zonguldakspor;1-0;1;0;H
1396-05-24;Balikesirspor;Boluspor;2-1;2;1;H
1396-05-25;Adana Demirspor;Altay;2-1;2;1;H
1396-06-01;Zonguldakspor;Adana Demirspor;4-1;4;1;H
1396-06-01;Boluspor;Eskisehirspor;0-0;0;0;D
1396-06-01;Bursaspor;Orduspor;1-1;1;1;D
1396-06-01;Fenerbahce;Altay;1-0;1;0;H
1396-06-01;Giresunspor;MKE Ankaragucu;0-0;0;0;D
1396-06-01;Goztepe;Galatasaray;2-0;2;0;H
1396-06-01;Trabzonspor;Besiktas;1-1;1;1;D
1396-06-01;Adanaspor;Balikesirspor;6-1;6;1;H
1396-09-11;Altay;Zonguldakspor;1-1;1;1;D
1396-09-11;Bursaspor;Besiktas;0-0;0;0;D
1396-09-11;Adana Demirspor;Adanaspor;1-2;1;2;A
1396-09-11;Trabzonspor;Goztepe;1-0;1;0;H
1396-09-11;Mersin Idmanyurdu;Eskisehirspor;0-2;0;2;A
1396-09-11;Boluspor;Galatasaray;1-0;1;0;H
1396-09-11;Orduspor;Samsunspor;2-0;2;0;H
1396-09-11;Fenerbahce;Giresunspor;3-0;3;0;H
1396-09-17;Trabzonspor;Samsunspor;2-0;2;0;H
1396-09-17;Adanaspor;Boluspor;1-1;1;1;D
1396-09-17;Galatasaray;Orduspor;3-0;3;0;H
1396-09-18;Altay;Goztepe;1-0;1;0;H
1396-09-18;Eskisehirspor;Fenerbahce;1-0;1;0;H
1396-09-18;Mersin Idmanyurdu;Bursaspor;1-1;1;1;D
1396-09-18;Besiktas;Adana Demirspor;4-1;4;1;H
1396-09-18;Giresunspor;Zonguldakspor;1-0;1;0;H
1396-10-01;Zonguldakspor;Fenerbahce;0-0;0;0;D
1396-10-02;Samsunspor;Altay;0-0;0;0;D
1396-10-02;Galatasaray;Trabzonspor;1-1;1;1;D
1396-10-02;Goztepe;Giresunspor;0-0;0;0;D
1396-10-02;Bursaspor;Eskisehirspor;1-1;1;1;D
1396-10-02;Boluspor;Besiktas;2-1;2;1;H
1396-10-02;Adana Demirspor;Mersin Idmanyurdu;2-0;2;0;H
1396-10-02;Orduspor;Adanaspor;1-0;1;0;H
1396-10-08;Besiktas;Orduspor;2-0;2;0;H
1396-10-09;Mersin Idmanyurdu;Boluspor;2-2;2;2;D
1396-10-09;Altay;Galatasaray;0-0;0;0;D
1396-10-09;Eskisehirspor;Zonguldakspor;1-0;1;0;H
1396-10-09;Adanaspor;Trabzonspor;0-2;0;2;A
1396-10-09;Giresunspor;Samsunspor;0-0;0;0;D
1396-10-09;Fenerbahce;Goztepe;1-1;1;1;D
1396-10-09;Bursaspor;Adana Demirspor;3-0;3;0;H
1396-10-16;Trabzonspor;Besiktas;2-1;2;1;H
1396-10-16;Boluspor;Bursaspor;1-1;1;1;D
1396-10-16;Eskisehirspor;Adana Demirspor;2-0;2;0;H
1396-10-16;Galatasaray;Giresunspor;3-2;3;2;H
1396-10-16;Orduspor;Mersin Idmanyurdu;1-1;1;1;D
1396-10-16;Goztepe;Zonguldakspor;2-1;2;1;H
1396-10-16;Adanaspor;Altay;0-3;0;3;A
1396-10-16;Samsunspor;Fenerbahce;0-0;0;0;D
1396-10-23;Giresunspor;Adanaspor;2-0;2;0;H
1396-10-23;Adana Demirspor;Boluspor;1-1;1;1;D
1396-10-23;Bursaspor;Orduspor;1-1;1;1;D
1396-10-23;Zonguldakspor;Samsunspor;1-0;1;0;H
1396-10-23;Besiktas;Altay;2-1;2;1;H
1396-10-23;Goztepe;Eskisehirspor;2-1;2;1;H
1396-11-01;Giresunspor;Besiktas;0-1;0;1;A
1396-11-01;Orduspor;Adana Demirspor;1-0;1;0;H
1396-11-01;Trabzonspor;Bursaspor;4-0;4;0;H
1396-11-01;Galatasaray;Zonguldakspor;3-2;3;2;H
1396-11-01;Adanaspor;Fenerbahce;0-0;0;0;D
1396-11-01;Samsunspor;Goztepe;2-0;2;0;H
1396-11-01;Boluspor;Eskisehirspor;1-0;1;0;H
1396-11-01;Altay;Mersin Idmanyurdu;3-0;3;0;H
1396-11-15;Mersin Idmanyurdu;Giresunspor;1-0;1;0;H
1396-11-15;Adana Demirspor;Trabzonspor;0-3;0;3;A
1396-11-15;Besiktas;Fenerbahce;1-1;1;1;D
1396-11-15;Orduspor;Boluspor;4-0;4;0;H
1396-11-15;Bursaspor;Altay;2-1;2;1;H
1396-11-15;Goztepe;Galatasaray;0-1;0;1;A
1396-11-15;Eskisehirspor;Samsunspor;1-0;1;0;H
1396-11-15;Zonguldakspor;Adanaspor;1-0;1;0;H
1396-11-28;Galatasaray;Samsunspor;1-1;1;1;D
1396-11-29;Giresunspor;Bursaspor;2-2;2;2;D
1396-11-29;Adanaspor;Goztepe;2-3;2;3;A
1396-11-29;Boluspor;Trabzonspor;0-2;0;2;A
1396-11-29;Eskisehirspor;Orduspor;2-2;2;2;D
1396-11-29;Fenerbahce;Mersin Idmanyurdu;1-0;1;0;H
1396-11-29;Zonguldakspor;Besiktas;0-4;0;4;A
1396-11-29;Altay;Adana Demirspor;0-0;0;0;D
1396-12-05;Galatasaray;Eskisehirspor;2-0;2;0;H
1396-12-06;Adana Demirspor;Giresunspor;0-0;0;0;D
1396-12-06;Mersin Idmanyurdu;Zonguldakspor;1-0;1;0;H
1396-12-06;Samsunspor;Adanaspor;0-0;0;0;D
1396-12-06;Altay;Boluspor;0-0;0;0;D
1396-12-06;Besiktas;Goztepe;3-0;3;0;H
1396-12-06;Bursaspor;Fenerbahce;0-0;0;0;D
1396-12-06;Trabzonspor;Orduspor;1-0;1;0;H
1396-12-12;Fenerbahce;Adana Demirspor;5-0;5;0;H
1396-12-13;Giresunspor;Boluspor;1-1;1;1;D
1396-12-13;Orduspor;Altay;1-1;1;1;D
1396-12-13;Eskisehirspor;Trabzonspor;1-0;1;0;H
1396-12-13;Besiktas;Samsunspor;1-2;1;2;A
1396-12-13;Adanaspor;Galatasaray;3-1;3;1;H
1396-12-13;Goztepe;Mersin Idmanyurdu;0-1;0;1;A
1396-12-13;Zonguldakspor;Bursaspor;1-0;1;0;H
1396-12-26;Fenerbahce;Orduspor;1-0;1;0;H
1396-12-27;Giresunspor;Trabzonspor;2-0;2;0;H
1396-12-27;Adana Demirspor;Goztepe;1-1;1;1;D
1396-12-27;Mersin Idmanyurdu;Galatasaray;0-0;0;0;D
1396-12-27;Bursaspor;Samsunspor;3-1;3;1;H
1396-12-27;Zonguldakspor;Boluspor;3-1;3;1;H
1396-12-27;Altay;Eskisehirspor;0-0;0;0;D
1396-12-27;Besiktas;Adanaspor;0-0;0;0;D
1397-01-04;Galatasaray;Bursaspor;4-1;4;1;H
1397-01-04;Altay;Giresunspor;1-0;1;0;H
1397-01-04;Eskisehirspor;Besiktas;1-0;1;0;H
1397-01-04;Samsunspor;Adana Demirspor;0-0;0;0;D
1397-01-04;Trabzonspor;Fenerbahce;3-0;3;0;H
1397-01-04;Orduspor;Zonguldakspor;1-0;1;0;H
1397-01-04;Boluspor;Goztepe;1-0;1;0;H
1397-01-04;Adanaspor;Mersin Idmanyurdu;1-2;1;2;A
1397-01-10;Besiktas;Mersin Idmanyurdu;0-0;0;0;D
1397-01-11;Giresunspor;Eskisehirspor;1-2;1;2;A
1397-01-11;Adana Demirspor;Galatasaray;0-0;0;0;D
1397-01-11;Samsunspor;Boluspor;1-0;1;0;H
1397-01-11;Bursaspor;Adanaspor;6-1;6;1;H
1397-01-11;Fenerbahce;Altay;1-1;1;1;D
1397-01-11;Goztepe;Orduspor;1-0;1;0;H
1397-01-11;Zonguldakspor;Trabzonspor;0-1;0;1;A
1397-01-18;Mersin Idmanyurdu;Trabzonspor;1-0;1;0;H
1397-01-18;Fenerbahce;Galatasaray;1-0;1;0;H
1397-02-02;Goztepe;Bursaspor;1-0;1;0;H
1397-02-02;Eskisehirspor;Adanaspor;4-2;4;2;H
1397-02-02;Boluspor;Fenerbahce;1-1;1;1;D
1397-02-02;Samsunspor;Mersin Idmanyurdu;0-0;0;0;D
1397-02-02;Orduspor;Giresunspor;1-0;1;0;H
1397-02-02;Adana Demirspor;Zonguldakspor;2-0;2;0;H
1397-02-02;Trabzonspor;Altay;3-1;3;1;H
1397-02-02;Galatasaray;Besiktas;2-2;2;2;D
1397-02-22;Galatasaray;Boluspor;1-2;1;2;A
1397-02-23;Samsunspor;Orduspor;2-0;2;0;H
1397-02-23;Adanaspor;Adana Demirspor;1-1;1;1;D
1397-02-23;Giresunspor;Fenerbahce;1-1;1;1;D
1397-02-23;Besiktas;Bursaspor;2-0;2;0;H
1397-02-23;Goztepe;Trabzonspor;0-0;0;0;D
1397-02-23;Eskisehirspor;Mersin Idmanyurdu;0-3;0;3;A
1397-02-23;Zonguldakspor;Altay;2-1;2;1;H
1397-03-01;Boluspor;Adanaspor;3-1;3;1;H
1397-03-01;Orduspor;Galatasaray;0-0;0;0;D
1397-03-01;Adana Demirspor;Besiktas;1-0;1;0;H
1397-03-01;Samsunspor;Trabzonspor;0-0;0;0;D
1397-03-01;Zonguldakspor;Giresunspor;1-0;1;0;H
1397-03-01;Bursaspor;Mersin Idmanyurdu;1-0;1;0;H
1397-03-01;Fenerbahce;Eskisehirspor;0-0;0;0;D
1397-03-01;Goztepe;Altay;1-1;1;1;D
1397-03-07;Fenerbahce;Zonguldakspor;0-1;0;1;A
1397-03-08;Giresunspor;Goztepe;1-2;1;2;A
1397-03-08;Altay;Samsunspor;2-1;2;1;H
1397-03-08;Adanaspor;Orduspor;1-1;1;1;D
1397-03-08;Mersin Idmanyurdu;Adana Demirspor;0-0;0;0;D
1397-03-08;Trabzonspor;Galatasaray;1-0;1;0;H
1397-03-08;Besiktas;Boluspor;0-0;0;0;D
1397-03-08;Eskisehirspor;Bursaspor;1-2;1;2;A
1397-03-15;Adana Demirspor;Bursaspor;1-1;1;1;D
1397-03-15;Boluspor;Mersin Idmanyurdu;1-1;1;1;D
1397-03-15;Galatasaray;Altay;0-1;0;1;A
1397-03-15;Goztepe;Fenerbahce;0-1;0;1;A
1397-03-15;Orduspor;Besiktas;2-1;2;1;H
1397-03-15;Trabzonspor;Adanaspor;1-0;1;0;H
1397-03-15;Samsunspor;Giresunspor;1-0;1;0;H
1397-03-15;Zonguldakspor;Eskisehirspor;0-0;0;0;D
1397-03-21;Besiktas;Trabzonspor;1-0;1;0;H
1397-03-22;Bursaspor;Boluspor;0-0;0;0;D
1397-03-22;Adana Demirspor;Eskisehirspor;1-1;1;1;D
1397-03-22;Altay;Adanaspor;1-0;1;0;H
1397-03-22;Zonguldakspor;Goztepe;2-0;2;0;H
1397-03-22;Fenerbahce;Samsunspor;1-0;1;0;H
1397-03-22;Giresunspor;Galatasaray;1-1;1;1;D
1397-03-22;Mersin Idmanyurdu;Orduspor;1-1;1;1;D
1397-03-29;Orduspor;Bursaspor;0-0;0;0;D
1397-03-29;Galatasaray;Fenerbahce;2-2;2;2;D
1397-03-29;Eskisehirspor;Goztepe;0-0;0;0;D
1397-03-29;Boluspor;Adana Demirspor;1-2;1;2;A
1397-03-29;Altay;Besiktas;1-0;1;0;H
1397-03-29;Adanaspor;Giresunspor;3-0;3;0;H
1397-03-29;Samsunspor;Zonguldakspor;3-0;3;0;H
1397-03-29;Trabzonspor;Mersin Idmanyurdu;3-0;3;0;H
1397-04-05;Fenerbahce;Adanaspor;0-0;0;0;D
1397-04-06;Adana Demirspor;Orduspor;0-0;0;0;D
1397-04-06;Bursaspor;Trabzonspor;0-0;0;0;D
1397-04-06;Eskisehirspor;Boluspor;0-0;0;0;D
1397-04-06;Goztepe;Samsunspor;1-1;1;1;D
1397-04-06;Mersin Idmanyurdu;Altay;3-2;3;2;H
1397-04-06;Zonguldakspor;Galatasaray;0-3;0;3;A
1397-04-06;Besiktas;Giresunspor;1-0;1;0;H
1397-04-12;Galatasaray;Goztepe;0-0;0;0;D
1397-04-13;Samsunspor;Eskisehirspor;1-0;1;0;H
1397-04-13;Fenerbahce;Besiktas;1-1;1;1;D
1397-04-13;Boluspor;Orduspor;3-1;3;1;H
1397-04-13;Altay;Bursaspor;1-0;1;0;H
1397-04-13;Adanaspor;Zonguldakspor;1-0;1;0;H
1397-04-13;Trabzonspor;Adana Demirspor;2-1;2;1;H
1397-04-13;Giresunspor;Mersin Idmanyurdu;1-1;1;1;D
1397-05-05;Trabzonspor;Boluspor;3-0;3;0;H
1397-05-05;Adana Demirspor;Altay;1-1;1;1;D
1397-05-05;Besiktas;Zonguldakspor;3-0;3;0;H
1397-05-05;Bursaspor;Giresunspor;3-0;3;0;H
1397-05-05;Goztepe;Adanaspor;1-1;1;1;D
1397-05-05;Mersin Idmanyurdu;Fenerbahce;0-1;0;1;A
1397-05-05;Samsunspor;Galatasaray;1-1;1;1;D
1397-05-05;Orduspor;Eskisehirspor;0-0;0;0;D
1397-05-12;Eskisehirspor;Galatasaray;0-1;0;1;A
1397-05-12;Fenerbahce;Bursaspor;3-1;3;1;H
1397-05-12;Giresunspor;Adana Demirspor;0-2;0;2;A
1397-05-12;Goztepe;Besiktas;1-2;1;2;A
1397-05-12;Orduspor;Trabzonspor;0-0;0;0;D
1397-05-12;Zonguldakspor;Mersin Idmanyurdu;1-0;1;0;H
1397-05-12;Boluspor;Altay;1-1;1;1;D
1397-05-12;Adanaspor;Samsunspor;1-0;1;0;H
1397-05-19;Adana Demirspor;Fenerbahce;0-0;0;0;D
1397-05-19;Altay;Orduspor;2-0;2;0;H
1397-05-19;Boluspor;Giresunspor;2-1;2;1;H
1397-05-19;Galatasaray;Adanaspor;3-2;3;2;H
1397-05-19;Mersin Idmanyurdu;Goztepe;2-0;2;0;H
1397-05-19;Samsunspor;Besiktas;0-1;0;1;A
1397-05-19;Trabzonspor;Eskisehirspor;2-0;2;0;H
1397-05-19;Bursaspor;Zonguldakspor;2-0;2;0;H
1397-05-25;Fenerbahce;Boluspor;2-1;2;1;H
1397-05-26;Besiktas;Galatasaray;0-2;0;2;A
1397-05-26;Adanaspor;Eskisehirspor;2-1;2;1;H
1397-05-26;Altay;Trabzonspor;2-1;2;1;H
1397-05-26;Giresunspor;Orduspor;0-0;0;0;D
1397-05-26;Mersin Idmanyurdu;Samsunspor;0-0;0;0;D
1397-05-26;Zonguldakspor;Adana Demirspor;1-0;1;0;H
1397-05-26;Bursaspor;Goztepe;2-0;2;0;H
1397-06-03;Orduspor;Fenerbahce;0-1;0;1;A
1397-06-03;Trabzonspor;Giresunspor;2-0;2;0;H
1397-06-03;Eskisehirspor;Altay;0-0;0;0;D
1397-06-03;Galatasaray;Mersin Idmanyurdu;1-1;1;1;D
1397-06-03;Samsunspor;Bursaspor;1-0;1;0;H
1397-06-03;Goztepe;Adana Demirspor;2-0;2;0;H
1397-06-03;Adanaspor;Besiktas;2-0;2;0;H
1397-06-03;Boluspor;Zonguldakspor;4-1;4;1;H
1397-06-09;Besiktas;Eskisehirspor;1-0;1;0;H
1397-06-10;Zonguldakspor;Orduspor;2-0;2;0;H
1397-06-10;Adana Demirspor;Samsunspor;3-0;3;0;H
1397-06-10;Giresunspor;Altay;0-0;0;0;D
1397-06-10;Mersin Idmanyurdu;Adanaspor;1-1;1;1;D
1397-06-10;Fenerbahce;Trabzonspor;1-1;1;1;D
1397-06-10;Goztepe;Boluspor;1-0;1;0;H
1397-06-10;Bursaspor;Galatasaray;1-0;1;0;H
1397-06-15;Eskisehirspor;Giresunspor;3-2;3;2;H
1397-06-15;Adanaspor;Bursaspor;2-0;2;0;H
1397-06-15;Orduspor;Goztepe;2-1;2;1;H
1397-06-15;Trabzonspor;Zonguldakspor;0-0;0;0;D
1397-06-15;Altay;Fenerbahce;1-2;1;2;A
1397-06-15;Boluspor;Samsunspor;1-1;1;1;D
1397-06-15;Mersin Idmanyurdu;Besiktas;2-0;2;0;H
1397-06-20;Galatasaray;Adana Demirspor;0-0;0;0;D
1397-09-12;Fenerbahce;Samsunspor;2-1;2;1;H
1397-09-13;Bursaspor;Adanaspor;4-0;4;0;H
1397-09-13;Galatasaray;Zonguldakspor;1-0;1;0;H
1397-09-13;Mersin Idmanyurdu;Trabzonspor;0-0;0;0;D
1397-09-13;MKE Ankaragucu;Boluspor;0-0;0;0;D
1397-09-13;Orduspor;Eskisehirspor;1-0;1;0;H
1397-09-13;Diyarbakirspor;Besiktas;2-0;2;0;H
1397-09-13;Altay;Adana Demirspor;3-2;3;2;H
1397-09-19;Fenerbahce;Mersin Idmanyurdu;5-2;5;2;H
1397-09-20;Adanaspor;Adana Demirspor;1-1;1;1;D
1397-09-20;Trabzonspor;MKE Ankaragucu;1-0;1;0;H
1397-09-20;Orduspor;Boluspor;0-3;0;3;A
